DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
PSME_00212	13	9	12	0	0	5	0	0	0	54	0	7	0	1	9	0	0	0	0	1	2
PSME_00213	393	606	929	28	313	0	0	26	1062	973	209	1244	20	160	180	333	161	0	1	21	197
PSME_00214	971	199	315	37	198	232	0	10	1604	2125	100	352	242	99	88	90	102	231	121	387	255
PSME_00215	298	132	359	61	272	110	0	2	312	507	112	786	50	103	78	62	42	122	31	206	139
PSME_00216	44	39	193	16	13	16	0	1	0	114	1	93	0	43	21	8	0	0	5	7	25
PSME_00217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSME_00218	0	0	2	8	7	0	0	0	0	1	6	0	0	8	2	19	0	0	0	0	2
PSME_00219	391	42	139	27	45	80	37	11	0	118	19	274	74	77	20	24	37	105	21	59	53
PSME_00220	12348	5621	16021	1246	4822	2930	612	648	4508	16304	1081	7045	2290	3430	1337	1284	850	1550	882	4152	3174
PSME_00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00222	548	238	940	75	380	297	2	19	1936	819	214	1355	164	271	84	100	273	691	79	310	310
PSME_00223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00224	4543	254	4677	646	1222	232	143	228	0	5949	372	8	262	629	36	0	91	1	13	177	723
PSME_00225	808	950	2248	276	1493	642	2	26	2549	3902	338	4129	637	604	296	426	567	348	193	842	659
PSME_00226	90	29	0	21	0	22	28	0	3	21	11	93	0	2	0	3	26	0	4	3	7
PSME_00227	22	115	629	11	60	863	14	12	41	328	2	432	1439	41	82	78	68	2332	265	891	294
PSME_00228	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00231	2987	1752	3657	499	852	831	89	196	2149	6742	1462	4664	1241	1199	557	2562	943	1124	458	1152	1140
PSME_00232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00234	15	9	9	0	0	5	0	1	0	18	0	50	0	31	0	6	17	0	3	10	8
PSME_00235	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0
PSME_00236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00237	888	568	1340	207	604	169	23	29	86	1671	153	1978	242	295	144	240	175	580	91	403	353
PSME_00238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00240	0	0	5	2	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	2	0
PSME_00241	6844	1550	6249	248	2982	451	70	337	2485	2526	375	301	64	713	207	389	16	2	202	647	886
PSME_00242	202	39	156	29	87	30	0	9	0	268	57	240	79	28	15	59	12	99	10	86	46
PSME_00243	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PSME_00244	2291	315	474	188	1108	135	0	1	11	2021	22	347	346	308	44	15	259	39	39	261	250
PSME_00245	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
PSME_00249	1176	305	370	71	91	50	0	5	199	921	41	760	117	139	88	56	207	56	23	162	155
PSME_00250	1354	978	1876	252	899	185	33	43	1590	2383	466	3048	374	531	340	449	632	479	97	405	501
PSME_00251	307	16	51	5	0	87	8	32	0	66	2	33	79	9	5	0	27	0	10	53	16
PSME_00252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00253	66	37	165	24	6	94	0	1	0	311	6	323	0	0	9	14	23	0	23	18	38
PSME_00254	2	1	4	1	0	0	0	0	305	5	0	3	0	0	8	1	0	3	0	5	11
PSME_00255	2304	2770	10371	603	3057	1920	274	274	1386	9858	645	5149	2553	2825	771	574	368	434	602	1613	1934
PSME_00256	730	451	1452	229	444	143	35	71	1711	1563	95	1689	0	72	171	480	214	14	49	25	330
PSME_00257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00258	1040	334	1050	98	406	52	0	1	764	1427	54	681	0	512	105	90	108	0	7	34	253
PSME_00259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00261	2	60	680	9	113	250	0	1	3	15	2	105	181	7	72	9	14	1023	86	243	91
PSME_00262	5	8	3	0	0	8	0	0	0	17	0	10	4	0	1	1	0	143	5	18	5
PSME_00263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00265	13	22	18	0	2	2	0	0	0	12	5	39	0	1	0	0	31	0	0	0	3
PSME_00266	0	3	0	0	0	27	0	0	0	0	0	12	0	0	0	6	0	0	6	0	1
PSME_00267	46	87	91	4	28	55	1	9	0	175	6	31	0	9	0	25	25	8	25	72	30
PSME_00268	172	48	1	50	0	1	0	0	0	11	48	6	0	1	28	25	64	0	6	0	13
PSME_00269	240	88	413	52	113	50	0	9	0	433	59	886	276	118	146	21	125	80	38	125	120
