target_id,sample19_TCS_C,sample26_TC_T,sample27_TCS_T,sample45_TC_C,sample52_TCS_T,sample62_TCS_C,sample87_TCS_T
TRINITY_DN5612_c0_g1_i10,0,0,21.238,8.24452,0,18.6511,0
TRINITY_DN5612_c0_g1_i11,0,0,0,0.207785,0,7.46378,0
TRINITY_DN5620_c0_g1_i1,0,0,31.9968,48.9996,0,576.34,0
TRINITY_DN5620_c0_g1_i2,0,0,0.00317262,0.000431556,0,11.6603,0
TRINITY_DN5654_c0_g1_i1,0,1.34E-06,88.9964,8.84612e-08,0,476,0
TRINITY_DN5654_c0_g1_i2,0,8,0.00363575,75,0,0,0
TRINITY_DN5665_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5665_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5665_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5665_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5665_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5665_c0_g1_i6,0,0,0,0,0,51,0
TRINITY_DN5608_c0_g1_i1,6.46E-06,0.000100556,0,61.9088,0,17.1344,0
TRINITY_DN5608_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5608_c0_g1_i3,9.46E-08,1.12E-06,0,3.65003e-08,0,470.662,1.78174e-07
TRINITY_DN5608_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5608_c0_g1_i5,2.99999,110,61,1196.09,0,2113.82,1
TRINITY_DN5608_c0_g1_i6,0,0,0,0,0,177.388,0
TRINITY_DN5697_c0_g1_i1,0,21.1016,137.577,0,0,8536.37,0
TRINITY_DN5697_c0_g1_i2,0,0.000220359,0,0,0,783.15,0
TRINITY_DN5697_c0_g1_i3,0,0,0,957.789,1,1605.48,0
TRINITY_DN5697_c0_g1_i4,1,0,0,0,0,0,0
TRINITY_DN5697_c0_g1_i5,0,125.898,39.4227,6430.21,0,0,0
TRINITY_DN5621_c0_g1_i1,2,5,8.47674,3,0,960.69,0
TRINITY_DN5621_c0_g1_i2,0,0,2.52326,0,0,793.31,0
TRINITY_DN5621_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5621_c0_g2_i2,0,0,0,0,0,0,0
TRINITY_DN5621_c0_g2_i3,0,21,11,81,0,208,0
TRINITY_DN5621_c0_g2_i4,0,0,0,0,0,0,0
TRINITY_DN5600_c0_g1_i1,0,0,0,0,0,11.0352,0
TRINITY_DN5600_c0_g1_i2,0,0,0.000787114,0,0,0,0
TRINITY_DN5600_c0_g1_i3,0,0,10.3901,0,0,76.5395,0
TRINITY_DN5600_c0_g1_i4,1,120,41.6091,145,0,373.425,0
TRINITY_DN5600_c1_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5600_c1_g1_i2,0,0,0,0,0,5.27257,0
TRINITY_DN5600_c1_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5600_c1_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5600_c1_g1_i5,0,0,42,221.918,0,962.419,0
TRINITY_DN5600_c1_g2_i1,0,0,0,207.082,0,177.309,0
TRINITY_DN5600_c1_g3_i1,0,0,0,0,0,0,0
TRINITY_DN5670_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5670_c0_g1_i2,0,0,19.9234,0,0,83.1615,0
TRINITY_DN5670_c0_g1_i3,0,718,512.646,29,0,2198.23,0
TRINITY_DN5670_c0_g1_i4,0,0,37.431,0,0,1502.61,0
TRINITY_DN5670_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5643_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5643_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5672_c0_g1_i1,0,0,29.7093,196.295,0,512.884,0
TRINITY_DN5672_c0_g1_i2,0,0,7.85532,0,0,119.161,0
TRINITY_DN5672_c0_g1_i3,0,0,0.00014186,3.82779e-05,0,0,0
TRINITY_DN5672_c0_g1_i4,0,0,0,119.752,0,902.046,0
TRINITY_DN5672_c0_g1_i5,8,0,9.88364,3.02042,0,61.9639,0
TRINITY_DN5672_c0_g1_i6,0,0,1.55157,1858.93,0,10.9453,0
TRINITY_DN5695_c0_g1_i1,0,0,0,10.5236,0,0,0
TRINITY_DN5695_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5695_c0_g1_i3,0,132,47.8028,548.476,0,485.422,1
TRINITY_DN5695_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5695_c0_g1_i5,0,0,6.19715,0,0,14.578,0
TRINITY_DN5647_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5647_c0_g1_i2,0,0,1,0,0,0,0
TRINITY_DN5647_c0_g1_i3,0,0,2,0,0,11,0
TRINITY_DN5690_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5690_c0_g1_i2,0,0,3,0,0,0,0
TRINITY_DN5690_c0_g1_i3,0,0,0,0,0,19.3117,0
TRINITY_DN5690_c0_g1_i4,39,171,167,51,0,3911.69,0
TRINITY_DN5690_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5650_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5650_c0_g1_i2,0,18,32.9846,417,0,820.631,0
TRINITY_DN5650_c0_g1_i3,0,0,4.65855,0,0,0,0
TRINITY_DN5650_c0_g1_i4,0,0,0,0,0,7.30551,0
TRINITY_DN5650_c0_g1_i5,0,0,6.36937,0,0,4.06338,0
TRINITY_DN5650_c0_g1_i6,0,0,3.98751,0,0,0,0
TRINITY_DN5650_c0_g1_i7,0,0,0,19,0,0,0
TRINITY_DN5685_c0_g1_i1,0,0,16.3156,0,0,0,0
TRINITY_DN5685_c0_g2_i1,0,18,20,776,0,498,1
TRINITY_DN5685_c0_g2_i2,0,0,0,0,0,0,0
TRINITY_DN5685_c0_g3_i1,0,4,30.6844,454,0,752.34,0
TRINITY_DN5685_c0_g3_i2,0,0,0,0,0,6.66026,0
TRINITY_DN5634_c0_g1_i1,0,0,0,0,0,15.7705,0
TRINITY_DN5634_c0_g1_i2,0,0,0,0,0,1.19475e-08,0
TRINITY_DN5634_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5634_c0_g1_i4,0,0,0,0,0,23.1217,0
TRINITY_DN5634_c0_g1_i5,0,4,4,1406,0,67.1078,0
TRINITY_DN5634_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5649_c0_g1_i1,0,0,0,0,0,1,0
TRINITY_DN5649_c0_g2_i1,0,0,0,0,0,1,0
TRINITY_DN5649_c0_g3_i1,0,0,0,0,0,0,0
TRINITY_DN5604_c0_g1_i1,0,0,0,0,0,3,0
TRINITY_DN5604_c0_g2_i1,0,0,0,0,0,3,0
TRINITY_DN5604_c0_g3_i1,0,0,0,0,0,10,0
TRINITY_DN5604_c0_g3_i2,0,0,0,0,0,0,0
TRINITY_DN5617_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5617_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5617_c0_g1_i3,0,2,4,0,0,153,0
TRINITY_DN5617_c0_g2_i1,0,0,0,83,0,75,0
TRINITY_DN5617_c0_g2_i2,0,0,0,7.35285e-08,0,0,0
TRINITY_DN5618_c0_g1_i1,0,0,2.53106,0,0,10.1755,0
TRINITY_DN5618_c0_g1_i2,0,0,0,0,0,26.4722,0
TRINITY_DN5618_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5618_c0_g1_i4,0,14,8.46894,365,0,85.3314,0
TRINITY_DN5618_c0_g1_i5,0,0,0,0,0,4.02086,0
TRINITY_DN5618_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5645_c0_g1_i1,0,0,0,0,0,7.64098,0
TRINITY_DN5645_c1_g1_i1,0,1.13002,0,0,0,7.51287,0
TRINITY_DN5645_c1_g2_i1,0,0,1.6215,0,0,38.0585,0
TRINITY_DN5645_c1_g3_i1,2,109,159,16,0,3222.14,0
TRINITY_DN5645_c1_g3_i2,0,0,0,0,0,0,0
TRINITY_DN5679_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5679_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5679_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5679_c0_g1_i4,0,0,0,0,0,138.607,0
TRINITY_DN5679_c0_g1_i5,0,0,0,0,0,8.21451e-07,0
TRINITY_DN5679_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5679_c0_g1_i7,0,0,5,10,0,0.39262,0
TRINITY_DN5679_c0_g1_i8,0,0,0,0,0,0,0
TRINITY_DN5679_c0_g1_i9,0,0,7.87457e-08,0,0,0,0
TRINITY_DN5648_c0_g1_i1,0,0,0,0,0,6.23173,0
TRINITY_DN5648_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5648_c0_g2_i2,0,0,0,0,0,0,0
TRINITY_DN5648_c0_g3_i1,0,0,0,0,0,6.29932,0
TRINITY_DN5648_c0_g4_i1,0,0,3,0,0,313.469,0
TRINITY_DN5677_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5677_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5677_c0_g2_i2,0,0,0,0,0,0,0
TRINITY_DN5677_c0_g2_i3,0,0,0,0,0,3,0
TRINITY_DN5677_c0_g2_i4,0,0,0,0,0,0,0
TRINITY_DN5677_c0_g2_i5,0,0,0,0,0,0,0
TRINITY_DN5677_c1_g1_i1,0,0,0,0,0,1,0
TRINITY_DN5641_c0_g1_i1,0,0,63.8074,0.000120836,0,87.3548,0
TRINITY_DN5641_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5641_c0_g1_i3,0,0.00177406,0,0.000255923,0,0,0
TRINITY_DN5641_c0_g1_i4,0,0,35.707,278.329,0,328.385,0
TRINITY_DN5641_c0_g1_i5,0,0.000429103,0,0,0,0,0
TRINITY_DN5641_c0_g1_i6,0,11.7881,0,0,0,242.78,0
TRINITY_DN5641_c0_g1_i7,0,43.2097,0.030161,156.67,0,419.977,0
TRINITY_DN5641_c0_g1_i8,0,0,0,0,0,0,0
TRINITY_DN5641_c0_g2_i1,0,0,5.45535,0,0,1.50302,0
TRINITY_DN5632_c0_g1_i1,0,0,11.0674,0,0,88.1437,0
TRINITY_DN5632_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5632_c0_g1_i3,0,0,0,0,0,36.2736,0
TRINITY_DN5632_c0_g1_i4,0,0,0,0,0,3.24953,0
TRINITY_DN5632_c0_g1_i5,0,7,21.1614,221.514,0,272.683,0
TRINITY_DN5632_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5632_c0_g1_i7,0,0,0,0,0,9.65018,0
TRINITY_DN5632_c0_g1_i8,0,0,20.7712,211.486,0,0,0
TRINITY_DN5696_c0_g1_i1,0,0,17.8871,0,0,0,0
TRINITY_DN5696_c0_g1_i2,0,4.10507,33.5144,0,0,247.915,0
TRINITY_DN5696_c0_g1_i3,0,0,8.77588,0,0,164.246,0
TRINITY_DN5696_c0_g2_i1,0,67.8949,3.82267,469,0,69.8386,0
TRINITY_DN5696_c0_g3_i1,0,0,7.79353e-06,0,0,0,0
TRINITY_DN5640_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5640_c0_g1_i2,0,0,0,0,0,8.70047,0
TRINITY_DN5640_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5640_c0_g1_i4,0,0,0,0,0,115.432,0
TRINITY_DN5640_c0_g1_i5,0,0,14.3673,262,0,0,0
TRINITY_DN5640_c0_g1_i6,0,1,0.632714,0,0,61.8673,0
TRINITY_DN5640_c0_g2_i1,0,46,159.069,560,0,1303.24,0
TRINITY_DN5640_c0_g2_i2,0,0,22.9305,1.30736e-05,0,61.7574,0
TRINITY_DN5624_c0_g1_i1,0,0,0,0,0,3,0
TRINITY_DN5624_c0_g2_i1,0,0,0,0,0,17.1542,0
TRINITY_DN5624_c0_g2_i2,0,50.7338,145.104,2,0,601.044,0
TRINITY_DN5624_c0_g2_i3,0,0,0,0,0,15.0736,0
TRINITY_DN5624_c0_g2_i4,0,111.266,5.89614,0,0,79.7278,0
TRINITY_DN5624_c0_g2_i5,0,0,0,0,0,0,0
TRINITY_DN5624_c0_g3_i1,0,0,0,0,0,0,0
TRINITY_DN5666_c0_g1_i1,0,0,0,0,4.28753,90.9119,0
TRINITY_DN5666_c0_g1_i2,2,269,596.62,2302.82,1.71247,4679.07,0
TRINITY_DN5666_c0_g1_i3,0,0,18.3798,35.1826,0,557.017,0
TRINITY_DN5666_c1_g1_i1,0,76,0,193.063,0,340.873,0
TRINITY_DN5666_c1_g1_i2,0,0,0,0,0,34.2721,0
TRINITY_DN5666_c1_g1_i3,0,0,13.7282,607.483,0,101.243,0
TRINITY_DN5666_c1_g1_i4,0,0,0,121.454,0,170.527,0
TRINITY_DN5666_c1_g1_i5,0,3.71E-07,16.2718,0,0,68.0845,0
TRINITY_DN5660_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5660_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5660_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5660_c0_g3_i1,0,0,0,0,0,0,0
TRINITY_DN5660_c0_g4_i1,0,0,0,0,0,0,0
TRINITY_DN5660_c0_g4_i2,0,0,0,0,0,0,0
TRINITY_DN5657_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5657_c0_g1_i2,0,0,0,0,0,37.8977,0
TRINITY_DN5657_c0_g1_i3,0,0,0,63.6742,0,0,0
TRINITY_DN5657_c0_g1_i4,0,51.9056,10.0056,0,0,18.3769,0
TRINITY_DN5657_c0_g1_i5,7,49.0944,126.994,3725.33,2,1875.73,1
TRINITY_DN5671_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5671_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5671_c0_g1_i3,0,0,4.66947,0,0,0,0
