"","logFC","logCPM","LR","PValue","FDR"
"PSME_46280",-12.4963107672667,5.11251685588786,17.7839564951362,2.47461118994383e-05,0.00464660198856781
"PSME_15292",-12.9796883331738,4.5349391647853,17.7421693940944,2.52956554765877e-05,0.0047138070713114
"PSME_40031",-12.9770291837846,4.01828426123257,17.7152600320403,2.5656015854022e-05,0.00474501261637018
"PSME_32126",-13.1448917769508,4.45305832733377,17.6879157267922,2.60274857936578e-05,0.00477779175785369
"PSME_43225",-14.7023787467272,4.64919291691312,17.599063424678,2.72722627292376e-05,0.00496920828602805
"PSME_23602",-13.3588409571615,4.50209289203912,17.4594031776311,2.93508866804059e-05,0.00530862581297518
"PSME_14016",-3.41231812924376,7.00652191769669,17.4242922764259,2.98980449377869e-05,0.00535206393569997
"PSME_49161",-12.5264159201794,4.44875835828132,17.4161610622619,3.00262144534757e-05,0.00535206393569997
"PSME_23331",-5.21277836801781,5.97285997844254,17.3806879858954,3.05918549293943e-05,0.00541059472756643
"PSME_40200",-13.1834245411961,4.79985513384693,17.3681392672948,3.07945061329905e-05,0.00541059472756643
"PSME_14789",-12.2530006459551,4.78437686985698,17.3257780898357,3.14886209829865e-05,0.00549331275843619
"PSME_50423",-4.31963909288827,5.56300528155737,17.2974599876393,3.19613792586067e-05,0.00553652117607894
"PSME_36560",-14.083000268538,5.9918369224682,17.2610074401093,3.25804560913927e-05,0.00560429411843411
"PSME_36792",-12.7590855383459,4.12350576951664,17.244190414947,3.28701098450189e-05,0.00561485390255399
"PSME_42738",-13.121467904317,4.32061822747025,17.2074934216732,3.3511191183348e-05,0.00568488469467582
"PSME_40614",-6.30150533768957,7.04887550201029,17.1693953553446,3.41900490178777e-05,0.0057603207242586
"PSME_50438",-12.4579153141506,4.49236374268595,17.1469110188081,3.45971590691287e-05,0.00577453001216521
"PSME_40928",-12.7471068105462,4.16374150050057,17.1281332912251,3.49408873217972e-05,0.00577453001216521
"PSME_50262",-13.2604325226271,4.09177507838824,17.1260813550549,3.49786556554442e-05,0.00577453001216521
"PSME_20148",-13.069987970955,4.28450596908383,17.1111967038576,3.52538566545014e-05,0.00578116243991617
"PSME_43103",9.32752972147039,6.91596938818102,17.0817755346537,3.58042411458834e-05,0.00579944726563791
"PSME_02063",-12.5223833013144,4.97992872468503,17.0800442256833,3.58368966735898e-05,0.00579944726563791
"PSME_06597",-4.04225106468137,5.89739215201386,17.0299468141922,3.67949002455952e-05,0.00585574686703909
"PSME_51024",-12.8541398315366,4.14136331858366,17.0197628852618,3.69927720835108e-05,0.00585574686703909
"PSME_31333",-12.6535855934175,4.22823812159884,16.9903154554977,3.75709689436838e-05,0.00585574686703909
"PSME_38054",-3.88258283217816,5.7830888727922,16.987659326615,3.76235662811991e-05,0.00585574686703909
"PSME_48850",-14.2208079142811,5.0872593303272,16.9830056194643,3.77158986797487e-05,0.00585574686703909
"PSME_08428",-12.6873044433449,4.58778423249804,16.9780958779493,3.78135578851054e-05,0.00585574686703909
"PSME_48404",-13.1842636724548,4.45642798138917,16.9762069860694,3.78511973273931e-05,0.00585574686703909
"PSME_39677",-4.60303840815312,5.51548341750143,16.9526721693371,3.83233394048603e-05,0.00589173439175471
"PSME_46689",-12.6308906255588,4.20167289371033,16.9305313657141,3.87729190424557e-05,0.00589650329100225
"PSME_21569",-3.97848104781394,6.04290720688267,16.9275535252562,3.88337886471406e-05,0.00589650329100225
"PSME_38226",-13.0503536904608,5.29288519717233,16.914401695439,3.91037743718871e-05,0.00590107142331091
"PSME_07322",-12.8985375794171,4.60575978053545,16.8674942932003,4.00821664299066e-05,0.00601183615757831
"PSME_41499",-7.92711035656512,5.47244601382773,16.8374381880117,4.0721973599509e-05,0.00604802253111435
"PSME_50137",-13.3008438469255,4.29545607286194,16.8330994154452,4.08151776634272e-05,0.00604802253111435
"PSME_11893",-14.6355102357582,4.21692561512618,16.7638177709452,4.23328538911601e-05,0.00619880410371023
"PSME_11832",-13.032087958885,4.40161218043223,16.7636436699106,4.23367383292674e-05,0.00619880410371023
"PSME_34601",-12.5904138900948,5.32050566731157,16.7257243296033,4.31913676353921e-05,0.00628651633784246
"PSME_50109",-12.4201105922075,4.7265782936769,16.7109494104531,4.35290427334132e-05,0.00629839643033233
"PSME_00420",-12.8148891038883,4.27251482225012,16.6805679065945,4.42317639185408e-05,0.00634429350902123
"PSME_28191",-12.6347851819728,4.44815540347753,16.6651855901692,4.45918933061873e-05,0.00634429350902123
"PSME_32656",-15.943074139886,6.25520444024756,16.6639902899784,4.46200006935797e-05,0.00634429350902123
"PSME_14924",-12.4708962725108,5.24026388091639,16.6427693634229,4.51219848803302e-05,0.00637879646026645
"PSME_38503",16.3439849721322,3.53459564729559,16.5912623367393,4.63641360739602e-05,0.00651694296655585
"PSME_25796",-12.4188512352716,4.35787416256232,16.5752747309204,4.67566442715425e-05,0.00653477236245115
"PSME_31896",-13.2771009295847,5.08975735927277,16.5486345345169,4.74181179586477e-05,0.00658977890139444
"PSME_42234",-5.79891460696507,4.638271977608,16.4730512229823,4.93465158206858e-05,0.00678182479294787
"PSME_30152",-13.8108274570787,5.49814645082332,16.4728621766238,4.93514366183295e-05,0.00678182479294787
"PSME_48128",-12.8833765758733,4.69145751243313,16.4619067550692,4.96374460527603e-05,0.00678323276669887
"PSME_49324",-12.7341128586416,3.96690151560805,16.4322684223729,5.04195854126793e-05,0.00682700526748638
